,,,,
,,,,
,Rok,Tydzień,Poziom Be7,Niepewność pomiarowa
,2010,1,253,47.7179211618
,,2,390,533.2072767696
,,3,184,325.55183919
,,4,333,127.7380131363
,,5,369,57.6281181369
,,6,435,583.9863012092
,,7,328,54.3323108288
,,8,456,149.4790955284
,,9,322,161.4992260043
,,10,350,542.5403210822
,,11,471,368.9430850416
,,12,505,426.9718960306
,,13,332,182.2086715829
,,14,599,244.7447650104
,,15,580,385.3310265214
,,16,852,145.9451951933
,,17,793,394.2435795292
,,18,191,290.2257741828
,,19,689,524.9761899363
,,20,712,106.733312513
,,21,697,343.2098483435
,,22,613,371.3825520942
,,23,439,586.6651515132
,,24,319,464.3748485868
,,25,753,631.1394457646
,,26,639,25.2784493195
,,27,411,344.6432938561
,,28,418,552.016304107
,,29,804,141.7744687876
,,30,623,723.8390705122
,,31,329,308.3520715027
,,32,589,194.1545775922
,,33,945,799.2621597448
,,34,277,183.076486748
,,35,756,439.9272667158
,,36,477,633.3695603674
,,37,594,194.9769217113
,,38,370,365.4722971718
,,39,759,137.7497731396
,,40,350,336.7491648097
,,41,301,312.2883283122
,,42,524,526.4940645439
,,43,137,81.932899375
,,44,467,626.6953007643
,,45,595,73.1778655059
,,46,251,364.3885289084
,,47,240,61.9677335393
,,48,237,261.7116734118
,,49,402,280.6991271807
,,50,159,302.62848511
,,51,209,318.0503104856
,,52,395,536.6143866875
,2011,1,335,164.7270469595
,,2,148,231.1449761513
,,3,305,384.2134823246
,,4,141,11.874342087
,,5,354,395.1126421668
,,6,422,184.8837472576
,,7,538,649.4551562656
,,8,575,623.4580980307
,,9,579,168.4369318172
,,10,479,328.2910294236
,,11,546,93.4665715644
,,12,562,71.1196175468
,,13,434,541.649333056
,,14,408,403.9801975345
,,15,535,23.1300670124
,,16,392,79.1959594929
,,17,241,139.7175722663
,,18,477,152.8823076749
,,19,394,436.6875313081
,,20,373,521.4566137274
,,21,523,0
,,22,270,476.5186250295
,,23,444,547.8539951483
,,24,420,61.4817045958
,,25,548,515.0067960717
,,26,478,655.8963332723
,,27,499,469.1044659775
,,28,484,110
,,29,418,470.236110906
,,30,286,202.9384143035
,,31,834,57.7581163128
,,32,771,27.7668867538
,,33,467,21.610182785
,,34,599,611.861912526
,,35,517,68.2129020054
,,36,731,621.8512683914
,,37,474,65.3146231712
,,38,513,22.6495033058
,,39,594,438.6980738503
,,40,524,251.8015091297
,,41,253,254.4955795294
,,42,224,329.2658500361
,,43,551,328.6274486406
,,44,494,266.7133292507
,,45,197,168.4280261714
,,46,404,301.4962686336
,,47,440,335.6188314144
,,48,487,463.429606305
,,49,171,300.7640271043
,,50,326,144.4437606821
,,51,333,328.4691766361
,,52,346,427.824730468
,2012,1,251,110.9008566243
,,2,174,184.6726834158
,,3,319,464.3748485868
,,4,458,620.6271022119
,,5,412,263.8711806924
,,6,241,263.9109698364
,,7,508,90.1554213567
,,8,177,79.8248081739
,,9,448,613.814304167
,,10,376,116.344316578
,,11,641,202.5438224188
,,12,627,0
,,13,351,0
,,14,394,218.3437656541
,,15,532,530.4978793549
,,16,370,57.706152185
,,17,676,312
,,18,881,326.4980857524
,,19,663,386.2317956875
,,20,941,889.5959757103
,,21,375,58.0947501931
,,22,459,621.3042732832
,,23,752,274.226184016
,,24,899,449.7499305169
,,25,705,371.7257053259
,,26,691,709.7457291171
,,27,655,153.5578067048
,,28,839,173.7929802955
,,29,387,98.3615778645
,,30,416,509.9019513593
,,31,889,864.6669879208
,,32,791,337.4966666502
,,33,612,197.9090700296
,,34,503,560.6915373001
,,35,500,223.60679775
,,36,593,535.735009123
,,37,582,265.3714377999
,,38,503,336.4149223801
,,39,398,558.5982456113
,,40,601,245.1530134426
,,41,319,375.0719930893
,,42,398,119.6996240596
,,43,251,174.2727746953
,,44,498,490.9500992973
,,45,424,350.0514247936
,,46,234,61.1882341631
,,47,414,529.0217386838
,,48,205,429.5346318983
,,49,247,235.7435046825
,,50,378,194.4222209522
,,51,289,493
,,52,181,255.6188568944
,2013,1,314,159.48040632
,,2,194,125.3554944947
,,3,257,64.1248781675
,,4,319,410.7931352883
,,5,319,89.3028554975
,,6,220,163.1563667161
,,7,385,588.6425061105
,,8,392,217.7888886055
,,9,401,100.1249219725
,,10,203,413.1863986145
,,11,289,391
,,12,506,314.9222126177
,,13,403,461.7217776973
,,14,743,81.7740790226
,,15,396,119.3984924528
,,16,352,75.0466521572
,,17,554,423.6696826538
,,18,124,44.5421149026
,,19,541,325.6316937892
,,20,630,225.8982071642
,,21,661,257.0992026436
,,22,908,783.4589970126
,,23,376,0
,,24,358,529.7848619959
,,25,992,944.8809448814
,,26,178,360.2249297314
,,27,888,834.3812078421
,,28,581,361.5591237958
,,29,574,143.7497826085
,,30,361,494
,,31,671,77.7110030819
,,32,510,361.3308733004
,,33,500,89.4427191
,,34,416,163.168624435
,,35,632,201.1168814396
,,36,437,209.0454496037
,,37,710,506.27067859
,,38,284,134.8183963708
,,39,231,319.172367225
,,40,448,507.9842517244
,,41,262,97.1184843374
,,42,458,299.6130838265
,,43,307,140.1713237435
,,44,551,680.7282864697
,,45,371,327.4431248324
,,46,229,211.8584433059
,,47,423,61.7008914036
,,48,448,84.6640419541
,,49,248,283.4642834644
,,50,179,240.8235868847
,,51,141,166.2407892185
,,52,220,430.1395122515
