,,,,,,,,
"Rok","Tyg","Dust","7Be","137Cs","210Pb","40K","22Na","134Cs"
2010,1,,,,,,,
,2,,,,,,,
,3,,,,,,,
,4,,,,,,,
,5,,,,,,,
,6,,,,,,,
,7,,,,,,,
,8,,,,,,,
,9,,,,,,,
,10,,,,,,,
,11,,,,,,,
,12,,,,,,,
,13,,,,,,,
,14,,,,,,,
,15,,,,,,,
,16,,,,,,,
,17,,,,,,,
,18,,,,,,,
,19,,,,,,,
,20,,,,,,,
,21,,,,,,,
,22,,,,,,,
,23,,,,,,,
,24,,,,,,,
,25,,,,,,,
,26,,,,,,,
,27,,,,,,,
,28,,,,,,,
,29,,,,,,,
,30,,,,,,,
,31,,,,,,,
,32,,,,,,,
,33,5,1308,0.574,70,4.73,8.52,
,34,61,1232,0.489,65.6,4.31,5.61,
,35,30,336,0.507,48.1,5.1,2.6,
,36,43,1198,0.233,78.3,2.94,3.74,
,37,13,940,0.54,45.7,6.82,3.68,
,38,58,754,0.423,59.3,4.8,3.65,
,39,19,688,0.463,30.6,,3.26,
,40,56,736,0.535,53.5,4.41,6.24,
,41,8,618,0.219,37.7,2.03,6.87,
,42,16,944,0.38,54.1,2.97,1.68,
,43,25,704,0.593,33.1,3.83,5.12,
,44,0,742,0.184,31,2.35,3.38,
,45,55,468,0.318,35,1.87,5.11,
,46,12,626,0.264,44.4,4.58,2.93,
,47,28,466,0.22,37.7,3.5,3.42,
,48,42,550,0.366,23.3,2.97,4.24,
,49,53,,0.111,40.2,4.68,1.65,
,50,50,456,0.303,20.9,2.5,1.46,
,51,58,774,0.406,20.7,3.44,1.38,
,52,62,234,0.295,36.5,1.33,1.87,
2011,1,32,808,0.343,15.7,2.19,3.6,
,2,43,674,0.398,38.8,1.52,3.56,
,3,35,516,0.226,25.8,2.6,2.17,
,4,28,390,0.263,40.4,3.76,1.95,
,5,6,428,0.504,39.9,4.55,1.49,
,6,0,566,0.241,27.6,4.25,3.86,
,7,21,552,0.246,35,3.18,3.08,
,8,3,540,0.511,31.1,4.34,3.53,
,9,43,1058,0.168,40.9,5.02,3.52,
,10,42,512,0.407,45.5,1.23,3.94,
,11,30,1154,0.344,35.8,6.67,5.69,
,12,35,1326,0.642,40,5.01,4.15,
,13,63,834,0.312,44,6.54,5.45,
,14,47,1028,0.554,39.8,2.67,2.93,
,15,53,966,0.266,30.9,3.81,5.54,
,16,47,666,0.166,56.3,6.13,6.05,
,17,63,666,0.504,52.9,4.54,3.29,
,18,145,1066,0.375,45.4,2.75,6.75,
,19,18,1542,0.451,81.6,4.41,4.6,
,20,60,1256,0.554,31.3,7.8,8.15,
,21,34,430,0.707,73.6,6.58,4.13,
,22,21,1640,0.269,62.2,5.39,9.24,
,23,8,898,0.697,69.4,6.29,4.13,
,24,49,744,0.493,63.1,6.35,7.12,
,25,31,1840,0.29,92.4,9.36,5.5,
,26,6,1816,0.382,56.1,6.25,7.37,
,27,49,744,0.542,56.1,5.19,7.84,
,28,27,1312,0.248,29.8,8.51,4.88,
,29,32,912,0.745,50.3,5.23,4.39,
,30,24,1692,0.596,37.2,5.26,6.71,
,31,13,992,0.438,41.2,8.46,6.88,
,32,28,716,0.866,22.5,7.02,7.77,
,33,15,696,0.694,66.5,7.86,6.13,
,34,24,724,0.844,73.8,3.83,2.22,
,35,25,1228,0.435,35.2,7.12,3.85,
,36,55,808,0.306,58.7,6.63,6.8,
